id,user_id,account_number,account_type,account_type_label,currency,balance,available_balance,daily_limit,monthly_limit,status,is_primary,opened_date,last_activity,created_at,updated_at
3151,2870,NM699936628,MERCHANT,,MRU,38000,38000,500000,15000000,FROZEN,true,2024-09-20,2024-11-04T05:07:38.245Z,2024-09-20T18:31:03.291Z,2024-11-04T05:07:38.245Z
3152,2871,NW403575685,WALLET,,MRU,3851000,49000,500000,15000000,ACTIVE,true,2022-04-11,2023-09-03T12:21:50.285Z,2022-04-11T12:37:54.390Z,2023-09-03T12:21:50.285Z
3153,2872,NW958724767,WALLET,,MRU,1115021,35000,500000,15000000,ACTIVE,true,2023-02-25,2023-08-04T09:12:19.714Z,2023-02-25T21:32:48.059Z,2023-08-04T09:12:19.714Z
3154,2873,NC727201342,CORPORATE,,MRU,1300,7900,500000,15000000,ACTIVE,true,2023-05-06,2023-07-11T05:21:58.491Z,2023-05-06T04:43:46.425Z,2023-07-11T05:21:58.491Z
3155,2874,NM567565679,MERCHANT,,MRU,7300,7300,500000,15000000,FROZEN,true,2024-06-12,2024-12-14T13:38:59.992Z,2024-06-12T17:30:16.748Z,2024-12-14T13:38:59.992Z
3156,2875,NS835386872,SAVINGS,,MRU,23000,23000,500000,15000000,ACTIVE,true,2023-10-05,2023-12-30T10:24:41.334Z,2023-10-05T02:29:55.912Z,2023-12-30T10:24:41.334Z
3157,2876,NS717437625,SAVINGS,,MRU,25550,35000,500000,15000000,ACTIVE,true,2024-08-16,2024-08-24T21:33:30.260Z,2024-08-16T21:42:55.721Z,2024-08-24T21:33:30.260Z
3158,2877,NC533718854,CORPORATE,,MRU,425000,13000,500000,15000000,ACTIVE,true,2024-04-27,2024-06-12T20:19:09.848Z,2024-04-27T03:17:18.118Z,2024-06-12T20:19:09.848Z
3159,2878,NM905356288,MERCHANT,,MRU,40000,40000,500000,15000000,FROZEN,true,2024-09-18,2024-12-21T14:14:09.003Z,2024-09-18T17:04:51.225Z,2024-12-21T14:14:09.003Z
3160,2879,NW469661593,WALLET,,MRU,4700,17000,500000,15000000,ACTIVE,true,2023-06-18,2024-12-28T23:52:31.057Z,2023-06-18T12:02:22.229Z,2024-12-28T23:52:31.057Z
3161,2880,NW421936035,WALLET,,MRU,952,4200,500000,15000000,ACTIVE,true,2023-11-21,2024-06-25T21:12:14.963Z,2023-11-21T07:15:30.546Z,2024-06-25T21:12:14.963Z
3162,2881,NM129529714,MERCHANT,,MRU,661400,33000,500000,15000000,ACTIVE,true,2022-05-22,2024-01-26T19:37:49.621Z,2022-05-22T17:03:52.998Z,2024-01-26T19:37:49.621Z
3163,2882,NW448127418,WALLET,,MRU,1800,1800,500000,15000000,ACTIVE,true,2022-03-11,2023-05-21T14:46:09.302Z,2022-03-11T05:48:27.256Z,2023-05-21T14:46:09.302Z
3164,2883,NW571171641,WALLET,,MRU,167550,293000,500000,15000000,ACTIVE,true,2024-01-08,2024-03-04T15:10:32.709Z,2024-01-08T03:38:46.243Z,2024-03-04T15:10:32.709Z
3165,2883,NS547800779,SAVINGS,,MRU,320,128000,500000,15000000,ACTIVE,false,2024-01-08,2024-12-02T14:13:00.323Z,2024-01-08T03:38:46.243Z,2024-12-02T14:13:00.323Z
3166,2884,NW918118983,WALLET,,MRU,40000,40000,500000,15000000,ACTIVE,true,2022-12-21,2024-11-03T18:19:12.305Z,2022-12-21T00:07:02.435Z,2024-11-03T18:19:12.305Z
3167,2885,NW386882662,WALLET,,MRU,2275,34000,500000,15000000,ACTIVE,true,2024-09-20,2024-09-23T21:17:26.127Z,2024-09-20T22:47:46.427Z,2024-09-23T21:17:26.127Z
3168,2886,NM818305373,MERCHANT,,MRU,62000,42000,500000,15000000,ACTIVE,true,2022-07-25,2023-09-18T18:36:45.497Z,2022-07-25T09:58:52.305Z,2023-09-18T18:36:45.497Z
3169,2887,NA060836672,AGENT,,MRU,17460,40000,500000,15000000,ACTIVE,true,2022-06-29,2024-05-19T07:58:18.403Z,2022-06-29T02:59:37.059Z,2024-05-19T07:58:18.403Z
3170,2888,NW490517854,WALLET,,MRU,108700,35000,500000,15000000,ACTIVE,true,2022-07-30,2022-08-29T11:14:14.926Z,2022-07-30T15:04:57.128Z,2022-08-29T11:14:14.926Z
3171,2889,NW040761645,WALLET,,MRU,3100,3100,500000,15000000,ACTIVE,true,2024-11-26,2024-12-25T00:06:48.874Z,2024-11-26T20:24:17.726Z,2024-12-25T00:06:48.874Z
3172,2890,NW679743767,WALLET,,MRU,17000,17000,500000,15000000,ACTIVE,true,2023-11-10,2023-11-19T08:59:28.260Z,2023-11-10T23:15:49.177Z,2023-11-19T08:59:28.260Z
