id,user_id,account_number,account_type,account_type_label,currency,balance,available_balance,daily_limit,monthly_limit,status,is_primary,opened_date,last_activity,created_at,updated_at
1576,1430,NW987515062,WALLET,,MRU,0,13000,500000,15000000,ACTIVE,true,2022-11-08,2024-10-23T11:01:11.768Z,2022-11-08T23:46:31.168Z,2024-10-23T11:01:11.768Z
1577,1431,NW281973600,WALLET,,MRU,4250,42000,500000,15000000,ACTIVE,true,2024-06-19,2024-12-18T22:37:06.176Z,2024-06-19T04:15:01.090Z,2024-12-18T22:37:06.176Z
1578,1432,NW388299703,WALLET,,MRU,9500,9500,500000,15000000,ACTIVE,true,2023-08-18,2024-11-02T15:26:21.100Z,2023-08-18T19:31:19.166Z,2024-11-02T15:26:21.100Z
1579,1433,NW294693619,WALLET,,MRU,3800,3800,500000,15000000,ACTIVE,true,2023-11-21,2024-04-28T14:16:03.774Z,2023-11-21T20:39:07.115Z,2024-04-28T14:16:03.774Z
1580,1434,NM351721286,MERCHANT,,MRU,19000,19000,500000,15000000,DORMANT,true,2024-03-13,2024-07-16T03:47:53.204Z,2024-03-13T14:37:59.860Z,2024-07-16T03:47:53.204Z
1581,1435,NW716639072,WALLET,,MRU,30300,7100,500000,15000000,ACTIVE,true,2022-09-12,2023-08-27T20:49:55.800Z,2022-09-12T07:34:03.821Z,2023-08-27T20:49:55.800Z
1582,1436,NS623267889,SAVINGS,,MRU,20000,20000,500000,15000000,ACTIVE,true,2024-09-15,2024-10-21T01:18:53.335Z,2024-09-15T02:10:12.719Z,2024-10-21T01:18:53.335Z
1583,1437,NS006079435,SAVINGS,,MRU,40000,40000,500000,15000000,ACTIVE,true,2024-12-06,2024-12-18T03:54:36.306Z,2024-12-06T13:53:13.054Z,2024-12-18T03:54:36.306Z
1584,1438,NM567095518,MERCHANT,,MRU,23750,46000,500000,15000000,ACTIVE,true,2023-01-07,2024-04-16T17:02:26.758Z,2023-01-07T20:03:52.160Z,2024-04-16T17:02:26.758Z
1585,1439,NW897924185,WALLET,,MRU,29674,32000,500000,15000000,ACTIVE,true,2022-03-10,2022-06-03T10:06:11.090Z,2022-03-10T21:01:34.595Z,2022-06-03T10:06:11.090Z
1586,1440,NC827417850,CORPORATE,,MRU,216100,345000,500000,15000000,ACTIVE,true,2022-06-19,2024-09-08T18:54:50.051Z,2022-06-19T13:36:30.735Z,2024-09-08T18:54:50.051Z
1587,1440,NW061564952,WALLET,,MRU,311000,311000,500000,15000000,ACTIVE,false,2022-06-19,2024-06-05T21:44:35.897Z,2022-06-19T13:36:30.735Z,2024-06-05T21:44:35.897Z
