id,nni,first_name,last_name,full_name,gender,birth_date,phone,email,wilaya_id,wilaya_name,profile_type,kyc_level,status,registration_date,last_login,created_at,updated_at
7146,8008989495,Mohamed Mahmoud,Bah,Mohamed Mahmoud Bah,M,1980-12-03,+22224082545,mohamedmahmoud.bah560@yahoo.fr,8,Guidimaka,STANDARD,,ACTIVE,2024-02-23,2024-07-24T07:12:01.460Z,2024-02-23T03:00:01.318Z,2024-07-24T07:12:01.460Z
7147,7001404668,Lala,Kane,Lala Kane,F,1970-11-03,+22224870859,,1,Nouakchott-Nord,STANDARD,,ACTIVE,2024-06-02,2024-06-03T05:31:00.202Z,2024-06-02T11:54:06.249Z,2024-06-03T05:31:00.202Z
7148,9802893043,Siaka,Ndiaye,Siaka Ndiaye,M,1998-06-04,+22222568292,,2,Nouakchott-Ouest,ACTIVE,,ACTIVE,2022-08-04,2024-05-15T05:15:20.304Z,2022-08-04T11:33:55.754Z,2024-05-15T05:15:20.304Z
7149,8104445567,Aicha,Mint Dah,Aicha Mint Dah,F,1981-01-18,+22234251821,aicha.mintdah449@yahoo.fr,4,Dakhlet Nouadhibou,STANDARD,,ACTIVE,2022-01-31,2023-07-17T07:29:45.696Z,2022-01-31T06:51:40.545Z,2023-07-17T07:29:45.696Z
7150,8715559415,Mariam,Koné,Mariam Koné,F,1987-05-26,+22234673974,mariam.koné631@yahoo.fr,15,Tiris Zemmour,OCCASIONAL,,ACTIVE,2024-10-19,2024-12-28T13:38:04.010Z,2024-10-19T17:15:40.217Z,2024-12-28T13:38:04.010Z
7151,7904019572,Mouna,Mint Ahmed,Mouna Mint Ahmed,F,1979-01-08,+22234360816,,4,Dakhlet Nouadhibou,PREMIUM,,ACTIVE,2023-06-14,2023-07-29T07:41:36.444Z,2023-06-14T22:06:22.506Z,2023-07-29T07:41:36.444Z
7152,0305541042,Harouna,Wade,Harouna Wade,M,2003-02-06,+22236469822,,5,Trarza,ACTIVE,,ACTIVE,2022-03-30,2023-01-11T23:05:23.108Z,2022-03-30T22:11:00.920Z,2023-01-11T23:05:23.108Z
7153,9101838101,Kiné,Guèye,Kiné Guèye,F,1991-11-05,+22237530046,kiné.guèye632@hotmail.fr,1,Nouakchott-Nord,STANDARD,,ACTIVE,2023-08-10,2024-12-29T21:10:32.160Z,2023-08-10T17:10:50.256Z,2024-12-29T21:10:32.160Z
7154,8002954121,Maty,Niang,Maty Niang,F,1980-04-07,+22237293270,maty.niang432@outlook.com,2,Nouakchott-Ouest,OCCASIONAL,,ACTIVE,2023-11-06,2024-02-16T10:52:18.326Z,2023-11-06T08:46:02.748Z,2024-02-16T10:52:18.326Z
7155,7802984480,Abdel Kader,Sy,Abdel Kader Sy,M,1978-06-21,+22237109770,abdelkader.sy634@hotmail.fr,2,Nouakchott-Ouest,ACTIVE,,ACTIVE,2023-11-25,2024-01-30T02:57:16.409Z,2023-11-25T13:59:54.737Z,2024-01-30T02:57:16.409Z
7156,6102678044,Hawa,Doucouré,Hawa Doucouré,F,1961-05-01,+22232373510,,2,Nouakchott-Ouest,STANDARD,,ACTIVE,2024-08-12,2024-12-14T21:26:25.754Z,2024-08-12T14:55:22.621Z,2024-12-14T21:26:25.754Z
7157,8607023152,Djimé,Bâ,Djimé Bâ,M,1986-05-01,+22246793310,djimé.bâ224@gmail.com,7,Gorgol,STANDARD,,ACTIVE,2022-12-24,2023-02-09T05:45:21.462Z,2022-12-24T14:40:15.231Z,2023-02-09T05:45:21.462Z
7158,9204619865,Ely,Ould Nenni,Ely Ould Nenni,M,1992-02-08,+22234485242,,4,Dakhlet Nouadhibou,OCCASIONAL,,ACTIVE,2024-11-07,2024-12-15T09:04:24.680Z,2024-11-07T04:18:36.276Z,2024-12-15T09:04:24.680Z
7159,8203944213,Moulaye,Ould El Mamy,Moulaye Ould El Mamy,M,1982-03-21,+22222801778,,3,Nouakchott-Sud,ACTIVE,,ACTIVE,2022-06-29,2023-02-24T13:19:51.650Z,2022-06-29T02:45:00.183Z,2023-02-24T13:19:51.650Z
7160,9402316645,Mohamed Vall,Ould Jiddou,Mohamed Vall Ould Jiddou,M,1994-04-05,+22237076582,,2,Nouakchott-Ouest,ACTIVE,,SUSPENDED,2024-07-27,2024-12-24T10:33:40.650Z,2024-07-27T05:50:58.470Z,2024-12-24T10:33:40.650Z
7161,6115988570,Bilal,Thiaw,Bilal Thiaw,M,1961-02-24,+22225888070,,15,Tiris Zemmour,OCCASIONAL,,PENDING_KYC,2022-04-28,2023-06-14T16:32:09.772Z,2022-04-28T23:46:18.409Z,2023-06-14T16:32:09.772Z
7162,0003444320,Houda,Bah,Houda Bah,F,2000-03-28,+22224884780,,3,Nouakchott-Sud,ACTIVE,,ACTIVE,2024-01-09,2024-07-08T03:27:58.927Z,2024-01-09T00:36:08.625Z,2024-07-08T03:27:58.927Z
7163,7109162657,Adja,Bâ,Adja Bâ,F,1971-10-01,+22237371547,adja.bâ774@gmail.com,9,Assaba,STANDARD,,ACTIVE,2024-03-11,2024-11-25T16:12:01.942Z,2024-03-11T05:56:46.977Z,2024-11-25T16:12:01.942Z
7164,6702162329,Tamba,Diakité,Tamba Diakité,M,1967-05-07,+22237443051,,2,Nouakchott-Ouest,OCCASIONAL,,ACTIVE,2022-08-21,2022-10-05T06:35:09.697Z,2022-08-21T16:55:54.138Z,2022-10-05T06:35:09.697Z
7165,9107520262,Dialika,Sène,Dialika Sène,F,1991-12-08,+22234874867,,7,Gorgol,OCCASIONAL,,SUSPENDED,2023-04-05,2024-05-20T05:14:42.103Z,2023-04-05T19:23:16.402Z,2024-05-20T05:14:42.103Z
7166,8704960149,Mohamed Yahya,Ould Mohamed,Mohamed Yahya Ould Mohamed,M,1987-05-18,+22224866352,mohamedyahya.ouldmohamed437@gmail.com,4,Dakhlet Nouadhibou,STANDARD,,ACTIVE,2024-07-15,2024-09-25T20:37:28.764Z,2024-07-15T16:17:27.995Z,2024-09-25T20:37:28.764Z
7167,6802544234,Koumba,Thiaw,Koumba Thiaw,F,1968-07-12,+22236097098,,2,Nouakchott-Ouest,ACTIVE,,ACTIVE,2022-08-09,2024-11-21T05:29:48.852Z,2022-08-09T05:20:38.515Z,2024-11-21T05:29:48.852Z
7168,9407597539,Zakaria,Diop,Zakaria Diop,M,1994-03-27,+22224531367,,7,Gorgol,STANDARD,,ACTIVE,2024-03-14,2024-12-22T04:09:16.409Z,2024-03-14T21:42:39.132Z,2024-12-22T04:09:16.409Z
7169,7902148191,Zein,Ould Hamadi,Zein Ould Hamadi,M,1979-06-26,+22224614517,,2,Nouakchott-Ouest,STANDARD,,ACTIVE,2022-06-21,2024-07-20T14:36:47.121Z,2022-06-21T08:19:59.359Z,2024-07-20T14:36:47.121Z
7170,8002043984,Zeinab,Mint El Ghassem,Zeinab Mint El Ghassem,F,1980-09-24,+22242202032,,2,Nouakchott-Ouest,STANDARD,,ACTIVE,2023-08-05,2024-05-04T13:32:36.798Z,2023-08-05T00:26:21.457Z,2024-05-04T13:32:36.798Z
7171,7302266062,Assa,Niang,Assa Niang,F,1973-07-12,+22235279596,assa.niang778@yahoo.fr,2,Nouakchott-Ouest,STANDARD,,ACTIVE,2023-08-01,2023-12-14T08:43:14.949Z,2023-08-01T13:11:41.209Z,2023-12-14T08:43:14.949Z
7172,6703546933,Hamady,Soumaré,Hamady Soumaré,M,1967-01-27,+22244592211,,3,Nouakchott-Sud,ACTIVE,,ACTIVE,2023-04-02,2023-12-25T13:50:39.064Z,2023-04-02T09:33:39.518Z,2023-12-25T13:50:39.064Z
7173,7108876366,Wedadi,Barry,Wedadi Barry,M,1971-08-20,+22247900435,,8,Guidimaka,STANDARD,,ACTIVE,2022-10-03,2023-07-14T21:35:12.339Z,2022-10-03T20:06:45.337Z,2023-07-14T21:35:12.339Z
7174,9601148650,Nouh,Ould Dah,Nouh Ould Dah,M,1996-03-04,+22232349059,,1,Nouakchott-Nord,OCCASIONAL,,ACTIVE,2024-01-30,2024-06-06T05:19:04.759Z,2024-01-30T16:35:58.665Z,2024-06-06T05:19:04.759Z
7175,7902584544,Saleck,Ould Nenni,Saleck Ould Nenni,M,1979-04-17,+22225322700,,2,Nouakchott-Ouest,PREMIUM,,ACTIVE,2024-06-17,2024-10-23T20:47:08.959Z,2024-06-17T12:16:54.420Z,2024-10-23T20:47:08.959Z
7176,6510498889,Zahra,Mint Abdallah,Zahra Mint Abdallah,F,1965-11-20,+22232488439,,10,Hodh Ech Chargui,OCCASIONAL,,ACTIVE,2023-04-25,2023-06-08T13:48:34.770Z,2023-04-25T17:11:54.841Z,2023-06-08T13:48:34.770Z
7177,9202182622,Cheikhna,Gaye,Cheikhna Gaye,M,1992-11-27,+22241294693,cheikhna.gaye67@yahoo.fr,2,Nouakchott-Ouest,ACTIVE,,PENDING_KYC,2023-04-12,2023-05-27T12:36:45.884Z,2023-04-12T10:24:21.324Z,2023-05-27T12:36:45.884Z
7178,6201862601,Zeinab,Kane,Zeinab Kane,F,1962-11-18,+22237411038,,1,Nouakchott-Nord,DORMANT,,ACTIVE,2024-07-26,2024-10-23T00:35:02.934Z,2024-07-26T00:55:27.288Z,2024-10-23T00:35:02.934Z
7179,7801902502,Fatima,Mint Horma,Fatima Mint Horma,F,1978-11-11,+22224010747,,1,Nouakchott-Nord,STANDARD,,ACTIVE,2024-04-04,2024-08-03T10:02:18.488Z,2024-04-04T21:50:59.165Z,2024-08-03T10:02:18.488Z
7180,7208925799,Oumar,Diallo,Oumar Diallo,M,1972-05-06,+22225803657,oumar.diallo684@outlook.com,8,Guidimaka,OCCASIONAL,,ACTIVE,2024-04-19,2024-05-09T11:32:45.124Z,2024-04-19T17:55:14.238Z,2024-05-09T11:32:45.124Z
7181,7701623017,Houda,Diop,Houda Diop,F,1977-11-02,+22224699808,,1,Nouakchott-Nord,OCCASIONAL,,ACTIVE,2022-10-19,2024-09-16T09:42:41.276Z,2022-10-19T11:07:02.745Z,2024-09-16T09:42:41.276Z
7182,7701670929,Malick,Camara,Malick Camara,M,1977-07-11,+22223404613,malick.camara913@yahoo.fr,1,Nouakchott-Nord,OCCASIONAL,,ACTIVE,2022-07-29,2022-11-20T14:32:32.530Z,2022-07-29T16:01:01.731Z,2022-11-20T14:32:32.530Z
7183,6403598173,Maimouna,Sène,Maimouna Sène,F,1964-08-15,+22236968437,,3,Nouakchott-Sud,OCCASIONAL,,INACTIVE,2023-05-16,2023-12-29T14:56:11.149Z,2023-05-16T00:48:36.980Z,2023-12-29T14:56:11.149Z
7184,6201730728,Mamadou,Fofana,Mamadou Fofana,M,1962-09-10,+22232935273,,1,Nouakchott-Nord,STANDARD,,ACTIVE,2024-08-19,2024-12-28T06:47:10.886Z,2024-08-19T06:46:13.434Z,2024-12-28T06:47:10.886Z
7185,8002142096,Nouhoum,Diop,Nouhoum Diop,M,1980-01-22,+22223742717,,2,Nouakchott-Ouest,DORMANT,,ACTIVE,2024-09-23,2024-11-14T08:11:58.089Z,2024-09-23T22:06:42.290Z,2024-11-14T08:11:58.089Z
7186,7505410103,Koumba,Thiaw,Koumba Thiaw,F,1975-03-14,+22223134349,,5,Trarza,STANDARD,,ACTIVE,2024-05-16,2024-10-16T19:19:49.534Z,2024-05-16T15:14:15.753Z,2024-10-16T19:19:49.534Z
7187,6003214376,N'Dèye,Dia,N'Dèye Dia,F,1960-11-08,+22225055784,n'dèye.dia637@hotmail.fr,3,Nouakchott-Sud,STANDARD,,ACTIVE,2022-06-20,2023-01-25T19:27:29.379Z,2022-06-20T02:40:20.631Z,2023-01-25T19:27:29.379Z
7188,6702409266,Houda,Mint Eleya,Houda Mint Eleya,F,1967-11-07,+22246113459,houda.minteleya112@outlook.com,2,Nouakchott-Ouest,ACTIVE,,ACTIVE,2024-03-06,2024-07-22T17:21:38.646Z,2024-03-06T10:59:43.720Z,2024-07-22T17:21:38.646Z
7189,7003056641,Mohamed Lemine,Thiam,Mohamed Lemine Thiam,M,1970-12-08,+22234949185,,3,Nouakchott-Sud,ACTIVE,,ACTIVE,2023-11-28,2024-11-20T15:53:55.437Z,2023-11-28T18:55:18.493Z,2024-11-20T15:53:55.437Z
7190,7104451394,Mariem,Touré,Mariem Touré,F,1971-08-03,+22224585952,mariem.touré491@gmail.com,4,Dakhlet Nouadhibou,STANDARD,,ACTIVE,2023-08-09,2023-12-21T06:19:27.713Z,2023-08-09T12:32:08.469Z,2023-12-21T06:19:27.713Z
7191,8202129532,Mokhtar,Wane,Mokhtar Wane,M,1982-12-04,+22246765874,mokhtar.wane112@hotmail.fr,2,Nouakchott-Ouest,DORMANT,,PENDING_KYC,2024-04-25,2024-09-30T20:18:10.573Z,2024-04-25T17:55:28.614Z,2024-09-30T20:18:10.573Z
7192,9105117846,Tekber,Thiam,Tekber Thiam,F,1991-10-25,+22241032735,,5,Trarza,VIP,,PENDING_KYC,2022-10-19,2023-10-31T08:07:47.056Z,2022-10-19T00:24:34.019Z,2023-10-31T08:07:47.056Z
7193,6909160090,Soumaïla,Sakho,Soumaïla Sakho,M,1969-02-12,+22241693199,,9,Assaba,STANDARD,,ACTIVE,2022-08-20,2023-07-22T20:22:00.593Z,2022-08-20T22:52:50.129Z,2023-07-22T20:22:00.593Z
7194,6701253206,Soueidatt,Ould Nagi,Soueidatt Ould Nagi,M,1967-09-05,+22222553733,soueidatt.ouldnagi447@gmail.com,1,Nouakchott-Nord,OCCASIONAL,,ACTIVE,2022-12-25,2024-11-28T05:15:56.296Z,2022-12-25T14:15:17.163Z,2024-11-28T05:15:56.296Z
7195,9601762708,Khady,Diarra,Khady Diarra,F,1996-11-16,+22235429603,,1,Nouakchott-Nord,STANDARD,,ACTIVE,2022-05-12,2024-05-04T04:35:37.843Z,2022-05-12T18:51:27.396Z,2024-05-04T04:35:37.843Z
7196,8108279768,Aminata,Tall,Aminata Tall,F,1981-07-03,+22224860736,,8,Guidimaka,OCCASIONAL,,ACTIVE,2024-06-25,2024-07-03T22:50:16.886Z,2024-06-25T07:13:13.057Z,2024-07-03T22:50:16.886Z
7197,7611787197,Noura,Touré,Noura Touré,F,1976-12-07,+22222807475,,11,Hodh El Gharbi,OCCASIONAL,,ACTIVE,2022-02-10,2022-05-17T15:34:32.264Z,2022-02-10T03:28:25.567Z,2022-05-17T15:34:32.264Z
7198,8901231868,Hacen,Yatabaré,Hacen Yatabaré,M,1989-12-28,+22235333945,,1,Nouakchott-Nord,DORMANT,,PENDING_KYC,2022-04-09,2024-04-24T10:35:10.197Z,2022-04-09T23:50:35.045Z,2024-04-24T10:35:10.197Z
7199,6202129125,Zein,Ould Sidi,Zein Ould Sidi,M,1962-03-04,+22249246502,zein.ouldsidi110@gmail.com,2,Nouakchott-Ouest,STANDARD,,ACTIVE,2024-07-14,2024-08-26T23:23:07.390Z,2024-07-14T21:33:13.365Z,2024-08-26T23:23:07.390Z
7200,8101344102,Aziza,Mint Lemrabott,Aziza Mint Lemrabott,F,1981-03-23,+22222282859,,1,Nouakchott-Nord,PREMIUM,,ACTIVE,2024-06-06,2024-11-02T14:57:30.220Z,2024-06-06T09:36:38.345Z,2024-11-02T14:57:30.220Z
7201,8605118481,Abdallah,Ndiaye,Abdallah Ndiaye,M,1986-02-15,+22233868732,,5,Trarza,STANDARD,,INACTIVE,2022-05-12,2023-03-27T00:13:29.654Z,2022-05-12T20:20:24.430Z,2023-03-27T00:13:29.654Z
7202,6209399042,Aïssata,Cissé,Aïssata Cissé,F,1962-05-20,+22235660877,,9,Assaba,STANDARD,,ACTIVE,2022-01-28,2024-09-28T03:19:14.933Z,2022-01-28T22:04:21.475Z,2024-09-28T03:19:14.933Z
7203,0404478894,Haby,Anne,Haby Anne,F,2004-05-23,+22223488194,,4,Dakhlet Nouadhibou,ACTIVE,,ACTIVE,2023-09-06,2024-01-26T02:47:07.474Z,2023-09-06T06:33:44.210Z,2024-01-26T02:47:07.474Z
7204,9801248776,Bilal,Sène,Bilal Sène,M,1998-05-27,+22222331146,,1,Nouakchott-Nord,OCCASIONAL,,ACTIVE,2022-06-18,2024-09-19T11:57:05.932Z,2022-06-18T13:11:51.371Z,2024-09-19T11:57:05.932Z
7205,0302753965,Khalil,Sall,Khalil Sall,M,2003-04-27,+22225054006,,2,Nouakchott-Ouest,DORMANT,,ACTIVE,2024-04-07,2024-06-26T13:06:04.970Z,2024-04-07T00:18:16.630Z,2024-06-26T13:06:04.970Z
