id,user_id,account_number,account_type,account_type_label,currency,balance,available_balance,daily_limit,monthly_limit,status,is_primary,opened_date,last_activity,created_at,updated_at
1,1,NW898116708,WALLET,,MRU,67,12000,500000,15000000,ACTIVE,true,2022-02-10,2023-08-25T02:28:54.749Z,2022-02-10T23:07:10.861Z,2023-08-25T02:28:54.749Z
2,2,NW457739860,WALLET,,MRU,534000,34000,500000,15000000,ACTIVE,true,2024-05-09,2024-12-09T18:32:36.867Z,2024-05-09T02:13:12.825Z,2024-12-09T18:32:36.867Z
3,3,NS151125311,SAVINGS,,MRU,2465,2700,500000,15000000,ACTIVE,true,2022-01-02,2022-02-13T11:37:02.191Z,2022-01-02T03:08:00.078Z,2022-02-13T11:37:02.191Z
4,4,NW559471577,WALLET,,MRU,13050,18000,500000,15000000,ACTIVE,true,2023-08-18,2024-02-01T08:53:16.880Z,2023-08-18T15:43:24.054Z,2024-02-01T08:53:16.880Z
5,5,NC965998769,CORPORATE,,MRU,49000,49000,500000,15000000,ACTIVE,true,2023-01-19,2023-12-17T03:23:42.069Z,2023-01-19T13:44:53.142Z,2023-12-17T03:23:42.069Z
6,6,NW127549767,WALLET,,MRU,31000,31000,500000,15000000,FROZEN,true,2024-02-07,2024-05-05T06:39:38.325Z,2024-02-07T08:15:17.797Z,2024-05-05T06:39:38.325Z
7,7,NW825153381,WALLET,,MRU,39000,39000,500000,15000000,CLOSED,true,2022-01-06,2023-03-19T17:39:09.760Z,2022-01-06T01:14:58.335Z,2023-03-19T17:39:09.760Z
8,8,NW524187088,WALLET,,MRU,36200,11000,500000,15000000,ACTIVE,true,2024-01-15,2024-12-02T23:05:19.012Z,2024-01-15T01:08:59.760Z,2024-12-02T23:05:19.012Z
9,9,NW275718569,WALLET,,MRU,28105,49000,500000,15000000,ACTIVE,true,2023-11-18,2024-05-16T06:15:31.980Z,2023-11-18T09:07:40.644Z,2024-05-16T06:15:31.980Z
10,10,NS962326765,SAVINGS,,MRU,15000,15000,500000,15000000,FROZEN,true,2024-03-13,2024-05-23T19:47:44.902Z,2024-03-13T09:14:38.618Z,2024-05-23T19:47:44.902Z
11,11,NW784373999,WALLET,,MRU,85500,17000,500000,15000000,ACTIVE,true,2022-10-21,2023-10-26T02:31:22.027Z,2022-10-21T01:00:43.277Z,2023-10-26T02:31:22.027Z
12,12,NM591364622,MERCHANT,,MRU,13000,13000,500000,15000000,ACTIVE,true,2023-08-02,2024-05-17T03:17:29.828Z,2023-08-02T07:53:48.960Z,2024-05-17T03:17:29.828Z
13,13,NW206464555,WALLET,,MRU,23810,32000,500000,15000000,ACTIVE,true,2023-08-05,2024-09-10T18:14:59.828Z,2023-08-05T00:28:14.238Z,2024-09-10T18:14:59.828Z
14,14,NW835598111,WALLET,,MRU,1650,25000,500000,15000000,ACTIVE,true,2023-04-05,2024-12-16T06:08:11.547Z,2023-04-05T19:02:32.985Z,2024-12-16T06:08:11.547Z
15,15,NW103046447,WALLET,,MRU,7900,7900,500000,15000000,ACTIVE,true,2024-07-28,2024-09-01T02:39:20.073Z,2024-07-28T07:02:14.816Z,2024-09-01T02:39:20.073Z
16,16,NW068077445,WALLET,,MRU,60000,60000,500000,15000000,ACTIVE,true,2022-01-05,2024-11-11T04:45:54.579Z,2022-01-05T18:12:47.604Z,2024-11-11T04:45:54.579Z
17,16,NS355636239,SAVINGS,,MRU,211075,266000,500000,15000000,ACTIVE,false,2022-01-05,2024-07-12T05:48:42.187Z,2022-01-05T18:12:47.604Z,2024-07-12T05:48:42.187Z
18,17,NM936164021,MERCHANT,,MRU,864392,7100,500000,15000000,ACTIVE,true,2022-07-07,2022-11-23T05:10:05.774Z,2022-07-07T12:05:32.944Z,2022-11-23T05:10:05.774Z
19,18,NW310096025,WALLET,,MRU,11000,11000,500000,15000000,ACTIVE,true,2024-10-01,2024-11-07T08:58:37.440Z,2024-10-01T00:24:34.200Z,2024-11-07T08:58:37.440Z
20,19,NW487556696,WALLET,,MRU,26000,26000,500000,15000000,ACTIVE,true,2023-12-26,2024-02-27T19:08:23.975Z,2023-12-26T14:21:46.320Z,2024-02-27T19:08:23.975Z
21,20,NW217552781,WALLET,,MRU,920165,12000,500000,15000000,ACTIVE,true,2023-04-04,2024-11-04T16:24:30.062Z,2023-04-04T23:20:35.963Z,2024-11-04T16:24:30.062Z
22,21,NW118651270,WALLET,,MRU,22725,1900,500000,15000000,ACTIVE,true,2022-03-18,2024-02-10T08:06:53.892Z,2022-03-18T17:59:07.639Z,2024-02-10T08:06:53.892Z
23,22,NW017366196,WALLET,,MRU,9700,9700,500000,15000000,ACTIVE,true,2022-01-12,2024-12-18T14:29:26.588Z,2022-01-12T21:08:12.325Z,2024-12-18T14:29:26.588Z
24,23,NW549753666,WALLET,,MRU,45000,45000,500000,15000000,ACTIVE,true,2022-07-23,2023-08-03T22:39:48.754Z,2022-07-23T15:16:17.252Z,2023-08-03T22:39:48.754Z
25,24,NW179426670,WALLET,,MRU,31000,31000,500000,15000000,ACTIVE,true,2022-05-11,2024-12-07T10:51:41.936Z,2022-05-11T02:32:51.409Z,2024-12-07T10:51:41.936Z
